name,time_of_day,year,month,day,day_week,date,hour,part_of_day
caiocportela,2020-09-29 22:53:39,2020,September,29,Tuesday,2020-09-29,22,Night
saalrf,2020-05-18 13:51:49,2020,May,18,Monday,2020-05-18,13,Afternoon
elizabete.ls,2020-04-01 22:24:32,2020,April,1,Wednesday,2020-04-01,22,Night
louise_louisinha,2020-04-01 22:21:13,2020,April,1,Wednesday,2020-04-01,22,Night
monicaalves027,2020-04-01 22:21:06,2020,April,1,Wednesday,2020-04-01,22,Night
casadearthurelucas,2020-04-01 22:20:55,2020,April,1,Wednesday,2020-04-01,22,Night
roh_costa,2020-04-01 22:20:41,2020,April,1,Wednesday,2020-04-01,22,Night
conjecturancas,2020-04-01 22:20:32,2020,April,1,Wednesday,2020-04-01,22,Night
tulio.87,2020-04-01 22:19:23,2020,April,1,Wednesday,2020-04-01,22,Night
victorleandro4.0,2020-03-29 19:54:23,2020,March,29,Sunday,2020-03-29,19,Evening
cleyson.erasmo,2019-03-16 03:27:13,2019,March,16,Saturday,2019-03-16,3,Late Night
tamisacosta,2019-03-16 03:27:13,2019,March,16,Saturday,2019-03-16,3,Late Night
jonathas_paulo_jp,2019-03-16 03:25:26,2019,March,16,Saturday,2019-03-16,3,Late Night
rai_sousajr,2019-03-16 03:25:26,2019,March,16,Saturday,2019-03-16,3,Late Night
luccas._.alves,2019-03-16 03:25:26,2019,March,16,Saturday,2019-03-16,3,Late Night
sylvesterhenrique,2019-03-16 03:25:26,2019,March,16,Saturday,2019-03-16,3,Late Night
